Product,Channel,sales_date,sales
Product A,Channel 1,1/1/19,571
Product A,Channel 1,1/2/19,540
Product A,Channel 1,1/3/19,580
Product A,Channel 1,1/4/19,562
Product A,Channel 1,1/5/19,116
Product A,Channel 1,1/6/19,58
Product A,Channel 1,1/7/19,558
Product A,Channel 1,1/8/19,626
Product A,Channel 1,1/9/19,593
Product A,Channel 1,1/10/19,605
Product A,Channel 1,1/11/19,596
Product A,Channel 1,1/12/19,117
Product A,Channel 1,1/13/19,60
Product A,Channel 1,1/14/19,613
Product A,Channel 1,1/15/19,612
Product A,Channel 1,1/16/19,643
Product A,Channel 1,1/17/19,658
Product A,Channel 1,1/18/19,691
Product A,Channel 1,1/19/19,129
Product A,Channel 1,1/20/19,75
Product A,Channel 1,1/21/19,666
Product A,Channel 1,1/22/19,670
Product A,Channel 1,1/23/19,683
Product A,Channel 1,1/24/19,688
Product A,Channel 1,1/25/19,663
Product A,Channel 1,1/26/19,138
Product A,Channel 1,1/27/19,70
Product A,Channel 1,1/28/19,712
Product A,Channel 1,1/29/19,677
Product A,Channel 1,1/30/19,754
Product A,Channel 1,1/31/19,749
Product A,Channel 1,2/1/19,790
Product A,Channel 1,2/2/19,162
Product A,Channel 1,2/3/19,79
Product A,Channel 1,2/4/19,839
Product A,Channel 1,2/5/19,884
Product A,Channel 1,2/6/19,794
Product A,Channel 1,2/7/19,865
Product A,Channel 1,2/8/19,824
Product A,Channel 1,2/9/19,158
Product A,Channel 1,2/10/19,89
Product A,Channel 1,2/11/19,920
Product A,Channel 1,2/12/19,870
Product A,Channel 1,2/13/19,914
Product A,Channel 1,2/14/19,903
Product A,Channel 1,2/15/19,904
Product A,Channel 1,2/16/19,172
Product A,Channel 1,2/17/19,90
Product A,Channel 1,2/18/19,913
Product A,Channel 1,2/19/19,911
Product A,Channel 1,2/20/19,942
Product A,Channel 1,2/21/19,955
Product A,Channel 1,2/22/19,1031
Product A,Channel 1,2/23/19,189
Product A,Channel 1,2/24/19,98
Product A,Channel 1,2/25/19,984
Product A,Channel 1,2/26/19,992
Product A,Channel 1,2/27/19,1058
Product A,Channel 1,2/28/19,1015
